Round,Accuracy (%),nt
17,0.27053571428571427,16
17,0,17
17,0,18
17,0,19
17,0,20
17,0,21
17,0,22
17,0,23
17,0,24
17,0,25
17,0,26
17,0,27
17,0,28
17,0,29
17,0,30
18,0.5044201981039985,0
18,0.16325082227897422,1
18,0.4354166666666667,2
18,0,3
18,0.2786458333333333,4
18,0,5
18,0,6
18,0.39889705882352944,7
18,0,8
18,0,9
18,0,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
18,0,21
18,0,22
18,0,23
18,0,24
18,0,25
18,0,26
18,0,27
18,0,28
18,0,29
18,0,30
19,0.43165082349652667,0
19,0.19423585360156348,1
19,0.44140625,2
19,0.23125,3
19,0,4
19,0.3515625,5
19,0,6
19,0,7
19,0.36213235294117646,8
19,0,9
19,0,10
19,0,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
19,0,21
19,0,22
19,0,23
19,0,24
19,0,25
19,0,26
19,0,27
19,0,28
19,0,29
19,0,30
20,0.4609201870610918,0
20,0.14778947899794703,1
20,0.3670847275288065,2
20,0.12890625,3
20,0,4
20,0,5
20,0.3550347222222222,6
20,0,7
20,0,8
20,0.4227941176470588,9
20,0,10
20,0,11
20,0,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
20,0,21
20,0,22
20,0,23
20,0,24
20,0,25
20,0,26
20,0,27
20,0,28
20,0,29
20,0,30
21,0.4840302453228589,0
21,0.15681414012973613,1
21,0.31502253134796243,2
21,0.2645212389949232,3
21,0,4
21,0,5
21,0,6
21,0.22743055555555555,7
21,0,8
21,0,9
21,0.3584558823529412,10
21,0,11
21,0,12
21,0,13
21,0,14
21,0,15
21,0,16
21,0,17
21,0,18
21,0,19
21,0,20
21,0,21
21,0,22
21,0,23
21,0,24
21,0,25
21,0,26
21,0,27
21,0,28
21,0,29
21,0,30
22,0.5041727093318618,0
22,0.12412045419857917,1
22,0.4276041666666667,2
22,0.18257739028213166,3
22,0.26840277777777777,4
22,0,5
22,0,6
22,0,7
22,0,8
22,0,9
22,0,10
22,0.36580882352941174,11
22,0,12
22,0,13
22,0,14
22,0,15
22,0,16
22,0,17
22,0,18
22,0,19
22,0,20
22,0,21
22,0,22
22,0,23
22,0,24
22,0,25
22,0,26
22,0,27
22,0,28
22,0,29
22,0,30
23,0.4740682010844659,0
23,0.18473975687839853,1
23,0,2
23,0.2453125,3
23,0,4
23,0.3991071428571429,5
23,0,6
23,0,7
23,0,8
23,0,9
23,0,10
23,0,11
23,0.35294117647058826,12
23,0,13
23,0,14
23,0,15
23,0,16
23,0,17
23,0,18
23,0,19
23,0,20
23,0,21
23,0,22
23,0,23
23,0,24
23,0,25
23,0,26
23,0,27
23,0,28
23,0,29
23,0,30
24,0.4634521330221878,0
24,0.20555402558188685,1
24,0.41363247863247865,2
24,0,3
24,0.640625,4
24,0,5
24,0.3375,6
24,0,7
24,0,8
24,0,9
24,0,10
24,0,11
24,0,12
24,0.37316176470588236,13
24,0,14
24,0,15
24,0,16
24,0,17
24,0,18
24,0,19
24,0,20
24,0,21
24,0,22
24,0,23
24,0,24
24,0,25
24,0,26
24,0,27
24,0,28
24,0,29
24,0,30
25,0.506888441813868,0
25,0.13301282494273012,1
25,0.3159214269128062,2
25,0.25820579594017096,3
25,0,4
25,0.265625,5
25,0,6
25,0.31607142857142856,7
25,0,8
25,0,9
25,0,10
25,0,11
25,0,12
25,0,13
25,0.39705882352941174,14
25,0,15
25,0,16
25,0,17
25,0,18
25,0,19
25,0,20
25,0,21
25,0,22
25,0,23
25,0,24
25,0,25
25,0,26
25,0,27
25,0,28
25,0,29
25,0,30
26,0.5202772924495371,0
26,0.12050005609132029,1
26,0.48125,2
26,0.20013896145361665,3
26,0.3359375,4
26,0,5
26,0,6
26,0,7
26,0.2883928571428571,8
26,0,9
26,0,10
26,0,11
26,0,12
26,0,13
26,0,14
26,0.31066176470588236,15
26,0,16
26,0,17
26,0,18
26,0,19
26,0,20
26,0,21
26,0,22
26,0,23
26,0,24
26,0,25
26,0,26
26,0,27
26,0,28
26,0,29
26,0,30
27,0.4805201707503364,0
27,0.20477331603328464,1
27,0.46875,2
27,0.24166666666666667,3
27,0,4
27,0.2916666666666667,5
27,0,6
27,0,7
27,0,8
27,0.4107142857142857,9
27,0,10
27,0,11
27,0,12
27,0,13
27,0,14
27,0,15
27,0.35294117647058826,16
27,0,17
27,0,18
27,0,19
27,0,20
27,0,21
27,0,22
27,0,23
27,0,24
27,0,25
27,0,26
27,0,27
27,0,28
27,0,29
27,0,30
28,0.4836512603558058,0
28,0.21820557212416947,1
28,0.42845081369958016,2
28,0.2552083333333333,3
28,0,4
28,0,5
28,0.4895833333333333,6
28,0,7
28,0,8
28,0,9
28,0.34285714285714286,10
28,0,11
28,0,12
28,0,13
28,0,14
28,0,15
28,0,16
28,0.4430147058823529,17
28,0,18
28,0,19
28,0,20
28,0,21
28,0,22
28,0,23
28,0,24
28,0,25
28,0,26
28,0,27
28,0,28
28,0,29
28,0,30
29,0.5271377308207664,0
29,0.18538837622152934,1
29,0.36608678378613724,2
29,0.29317926225820967,3
29,0,4
29,0,5
29,0,6
29,0.2786458333333333,7
29,0,8
29,0,9
29,0,10
29,0.3366071428571429,11
29,0,12
29,0,13
29,0,14
29,0,15
29,0,16
29,0,17
